1,MMM,3M Company
2,AOS,A.O. Smith Corp
3,ABT,Abbott Laboratories
4,ABBV,AbbVie Inc.
5,ACN,Accenture plc
6,ATVI,Activision Blizzard
7,AYI,Acuity Brands Inc
8,ADBE,Adobe Systems Inc
9,AAP,Advance Auto Parts
10,AMD,Advanced Micro Devices Inc
11,AES,AES Corp
12,AET,Aetna Inc
13,AMG,Affiliated Managers Group Inc
14,AFL,AFLAC Inc
15,A,Agilent Technologies Inc
16,APD,Air Products & Chemicals Inc
17,ALK,Alaska Air Group Inc
18,AKAM,Akamai Technologies Inc
19,ALB,Albemarle Corp
20,ARE,Alexandria Real Estate Equities Inc
21,ALXN,Alexion Pharmaceuticals
22,ALGN,Align Technology
23,ALLE,Allegion
24,AGN,"Allergan, Plc"
25,ADS,Alliance Data Systems
26,LNT,Alliant Energy Corp
27,ALL,Allstate Corp
28,GOOGL,Alphabet Inc Class A
29,GOOG,Alphabet Inc Class C
30,MO,Altria Group Inc
31,AMZN,Amazon.com Inc.
32,AEE,Ameren Corp
33,AAL,American Airlines Group
34,AEP,American Electric Power
35,AXP,American Express Co
36,AIG,"American International Group, Inc."
37,AMT,American Tower Corp A
38,AWK,American Water Works Company Inc
39,AMP,Ameriprise Financial
40,ABC,AmerisourceBergen Corp
41,AME,AMETEK Inc.
42,AMGN,Amgen Inc.
43,APH,Amphenol Corp
44,APC,Anadarko Petroleum Corp
45,ADI,"Analog Devices, Inc."
46,ANDV,Andeavor
47,ANSS,ANSYS
48,ANTM,Anthem Inc.
49,AON,Aon plc
50,APA,Apache Corporation
51,AIV,Apartment Investment & Management
52,AAPL,Apple Inc.
53,AMAT,Applied Materials Inc.
54,APTV,Aptiv Plc
55,ADM,Archer-Daniels-Midland Co
56,ARNC,Arconic Inc.
57,AJG,Arthur J. Gallagher & Co.
58,AIZ,Assurant Inc.
59,T,AT&T Inc.
60,ADSK,Autodesk Inc.
61,ADP,Automatic Data Processing
62,AZO,AutoZone Inc
63,AVB,"AvalonBay Communities, Inc."
64,AVY,Avery Dennison Corp
65,BHGE,"Baker Hughes, a GE Company"
66,BLL,Ball Corp
67,BAC,Bank of America Corp
68,BAX,Baxter International Inc.
69,BBT,BB&T Corporation
70,BDX,Becton Dickinson
71,BRK.B,Berkshire Hathaway
72,BBY,Best Buy Co. Inc.
73,BIIB,Biogen Inc.
74,BLK,BlackRock
75,HRB,Block H&R
76,BA,Boeing Company
77,BKNG,Booking Holdings Inc
78,BWA,BorgWarner
79,BXP,Boston Properties
80,BSX,Boston Scientific
81,BHF,Brighthouse Financial Inc
82,BMY,Bristol-Myers Squibb
83,AVGO,Broadcom
84,BF.B,Brown-Forman Corp.
85,CHRW,C. H. Robinson Worldwide
86,CA,"CA, Inc."
87,COG,Cabot Oil & Gas
88,CDNS,Cadence Design Systems
89,CPB,Campbell Soup
90,COF,Capital One Financial
91,CAH,Cardinal Health Inc.
92,KMX,Carmax Inc
93,CCL,Carnival Corp.
94,CAT,Caterpillar Inc.
95,CBOE,Cboe Global Markets
96,CBRE,CBRE Group
97,CBS,CBS Corp.
98,CELG,Celgene Corp.
99,CNC,Centene Corporation
100,CNP,CenterPoint Energy
101,CTL,CenturyLink Inc
102,CERN,Cerner
103,CF,CF Industries Holdings Inc
104,SCHW,Charles Schwab Corporation
105,CHTR,Charter Communications
106,CVX,Chevron Corp.
107,CMG,Chipotle Mexican Grill
108,CB,Chubb Limited
109,CHD,Church & Dwight
110,CI,CIGNA Corp.
111,XEC,Cimarex Energy
112,CINF,Cincinnati Financial
113,CTAS,Cintas Corporation
114,CSCO,Cisco Systems
115,C,Citigroup Inc.
116,CFG,Citizens Financial Group
117,CTXS,Citrix Systems
118,CME,CME Group Inc.
119,CMS,CMS Energy
